zoneId;Attractivity:Business;Attractivity:Leisure_Indoor;Attractivity:Leisure_Outdoor;Attractivity:Private_Business;Attractivity:Private_Visit;Attractivity:Service;Attractivity:Shopping_Daily;Attractivity:Shopping_Other;Attractivity:Shopping;Attractivity:Work;Attractivity:Education_Primary;Attractivity:Education_Secondary;Attractivity:Education_Tertiary;Attractivity:Sightseeing
2445;2513,85;274,32;106,77;10;966;172,55;0;3914,1;3914,1;2513,85;0;192;0;0
2446;11332,41;11354,35;31484,3;7906,57;30922,45;9717,3;30806,02;114956,38;145762,4;11332,41;1297;5407;0;0
2447;867,34;2507,77;3571,51;1303,09;3240;2102,45;3698,67;8875,42;12574,09;867,34;164;0;0;0
2448;2224,73;0;0;0;22;0,42;0;15254,38;15254,38;2224,73;0;0;0;0
2449;272,84;138,3;875,58;81;1248;889,97;3793,26;392,41;4185,67;272,84;0;0;0;0
2450;523,17;838,04;6242,25;1203,85;4243;1333,09;6161,55;5800,31;11961,86;523,17;223;0;0;120
2451;331,05;112,05;585,22;81;776;44;0;2820,24;2820,24;331,05;0;0;0;0
2452;845,38;1905,41;3863,5;864,35;2615;3406,05;2393,93;2035,14;4429,07;845,38;130;0;0;0
2453;197,73;162,34;131,58;0;1216;382,4;150;0;150;197,73;0;0;0;0
2454;88,1;161,52;1202,42;66,4;1103;80,16;2331,66;375,62;2707,28;88,1;0;0;0;0
2455;540,64;94,2;757,39;631,7;1453;976,19;1849,33;0;1849,33;540,64;276;0;0;0
2456;353,64;224,1;348,56;0;983;260,62;0;0;0;353,64;0;0;0;0
2457;127,6;0;781,25;0;749;1045,27;0;0;0;127,6;0;0;0;0
2458;363,95;2416,5;929,74;926,1;2487;1477;3793,26;15199,18;18992,44;363,95;119;0;0;0
2459;1397,03;1436,47;11004,62;1312,35;4939;1044,88;6892,73;4637,81;11530,54;1397,03;172;353;0;0
2460;340,22;778,5;753,99;139,75;714;655,15;0;1696,81;1696,81;340,22;0;0;0;0
2461;131,06;0;125,24;0;848;178,99;0;645,75;645,75;131,06;0;0;0;0
2462;348,49;1956,02;3495,38;759,5;2238;5071,24;450;3598,59;4048,59;348,49;83;0;0;0
2463;36,55;0;0;0;15;0,28;0;0;0;36,55;0;0;0;0
2464;1831,07;2231,38;2098,95;2133,28;3806;1871,21;11466,42;27794,12;39260,54;1831,07;285;432;0;0
2465;3120,67;1599,8;7203,28;1665,85;7903;1316,82;6097,61;3546,76;9644,37;3120,67;332;366;0;0
2466;544,53;1002,6;5958,34;220,75;1417;521;1699,33;309,32;2008,65;544,53;0;443;0;0
2467;90,81;778,5;617,63;189,75;607;220,17;0;0;0;90,81;0;0;0;0
2468;1293,36;419,01;3087,62;1131,18;3933;1264,27;6246,53;5599,54;11846,07;1293,36;118;510;0;0
2469;651,45;277,5;1012,68;8,9;1519;191,24;0;1932,79;1932,79;651,45;0;0;0;0
2470;162,2;345,6;571,06;522,13;1902;615,88;300;392,41;692,41;162,2;118;0;0;0
2471;220,18;274,32;122,1;0;534;150,15;0;1515,66;1515,66;220,18;0;0;0;0
2472;242,32;0;0;0;596;11,32;0;0;0;242,32;0;0;0;0
2473;1010,04;550,22;2233,14;907,2;3506;2287,07;2158,8;1240,97;3399,77;1010,04;182;0;0;0
2474;201,54;0;0;195;535;10,16;0;0;0;201,54;0;0;0;10
2475;1121,88;2854,63;5197,48;512,05;5603;3423,81;2530,59;1406,56;3937,15;1121,88;251;0;0;20
2476;4122,87;0;0;21;537;10,2;150;1253,79;1403,79;4122,87;0;0;0;0
2477;306,39;1406,49;3657,35;1984,78;9825;2128,14;16572,06;8700,62;25272,68;306,39;346;1660;0;10
2478;109,98;0;1413,42;70;1724;5151,42;1699,33;1362,82;3062,15;109,98;66;0;0;0
2479;138,09;0;435,28;0;1061;20,16;0;0;0;138,09;0;0;0;0
2480;664,92;680,41;1190,8;613,45;2946;1195,84;150;122,67;272,67;664,92;149;0;0;0
2481;280,46;112,05;53,32;0;1546;242,65;1849,33;0;1849,33;280,46;0;0;0;0
